timestamp,value
2026-04-25T17:07:01.747308+00:00,369999
2026-04-25T17:07:04.833304+00:00,389999
2026-04-25T17:07:07.933509+00:00,449990
2026-04-25T17:07:17.196153+00:00,8888
2026-04-25T17:07:23.478272+00:00,999999
2026-04-25T17:08:44.349358+00:00,2499999
2026-04-25T17:08:50.531748+00:00,4000000
2026-04-25T17:09:06.185451+00:00,9200000
2026-04-25T17:09:34.159150+00:00,666666
2026-04-25T17:09:37.215360+00:00,499993
2026-04-25T17:09:40.366000+00:00,1550000
2026-04-25T17:09:57.646198+00:00,1599999
2026-04-25T17:10:16.312545+00:00,6000000
2026-04-25T17:10:55.642569+00:00,26979
2026-04-25T17:10:58.788052+00:00,27936
2026-04-25T17:11:01.875191+00:00,139986
2026-04-25T17:11:04.898414+00:00,399998
2026-04-25T17:11:11.003301+00:00,39995
2026-04-25T17:11:14.057325+00:00,80000
2026-04-25T17:11:17.088443+00:00,339997
2026-04-25T17:11:26.410049+00:00,118995
2026-04-25T17:11:29.540642+00:00,300000
2026-04-25T17:11:32.610483+00:00,700000
2026-04-25T17:11:35.785244+00:00,2100000
2026-04-25T17:11:42.044063+00:00,934332
2026-04-25T17:11:45.145842+00:00,700000
2026-04-25T17:12:02.570832+00:00,999999
2026-04-25T17:12:08.758009+00:00,5600000
2026-04-25T17:12:18.048684+00:00,5993
2026-04-25T17:12:21.189321+00:00,9981
2026-04-25T17:12:24.219592+00:00,23884
2026-04-25T17:12:27.283390+00:00,41875
2026-04-25T17:12:30.450168+00:00,129981
2026-04-25T17:12:36.620461+00:00,30881
2026-04-25T17:12:39.679808+00:00,34983
2026-04-25T17:12:42.862985+00:00,192991
2026-04-25T17:12:45.952846+00:00,555555
2026-04-25T17:12:52.143404+00:00,60964
2026-04-25T17:12:55.241864+00:00,99993
2026-04-25T17:12:58.323909+00:00,550000
2026-04-25T17:13:01.480164+00:00,1899999
2026-04-25T17:13:12.695422+00:00,190000
2026-04-25T17:13:15.762339+00:00,495991
2026-04-25T17:13:28.270854+00:00,555549
2026-04-25T17:13:43.813138+00:00,137983
2026-04-25T17:13:46.880001+00:00,119210
2026-04-25T17:13:50.003510+00:00,143000
2026-04-25T17:13:53.153474+00:00,25888
2026-04-25T17:13:59.430717+00:00,195000
2026-04-25T17:14:02.519445+00:00,222997
2026-04-25T17:14:05.675958+00:00,294999
2026-04-25T17:14:08.790502+00:00,700000
2026-04-25T17:14:16.939003+00:00,3150000
2026-04-25T17:14:23.087911+00:00,359983
2026-04-25T17:14:26.218670+00:00,699999
2026-04-25T17:14:38.772639+00:00,200000
2026-04-25T17:15:00.505293+00:00,17000000
2026-04-25T17:15:06.770341+00:00,15884
2026-04-25T17:15:09.924477+00:00,45984
